datetime,fromNode,pm10Standard,pm25Standard,pm100Standard,pm10Environmental,pm25Environmental,pm100Environmental,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2026-01-25 14:08:37.934303,0x433b0b38,7,9,9,7,9,9,6.0,-72,1769378917,5,5
2026-01-25 14:08:39.608444,0x433ad35c,10,13,14,10,13,14,5.75,-54,1769378918,3,3
2026-01-25 14:08:43.417772,0x433abf20,4,9,9,4,9,9,5.5,-76,1769378922,3,3
2026-01-25 14:09:33.039424,0x433af380,12,14,15,12,14,15,7.0,-39,1769378972,3,3
2026-01-25 14:09:38.121307,0x433b0b38,5,11,11,5,11,11,6.0,-70,1769378977,5,5
2026-01-25 14:09:39.898694,0x433ad35c,9,14,15,9,14,15,7.25,-54,1769378979,3,3
2026-01-25 14:09:43.516955,0x433abf20,3,7,7,3,7,7,5.5,-76,1769378982,3,3
2026-01-25 14:10:33.365528,0x433af380,12,17,18,12,17,18,6.5,-39,1769379032,3,3
2026-01-25 14:10:41.189717,0x433b0b38,8,12,12,8,12,12,5.5,-71,1769379040,5,5
2026-01-25 14:10:42.861431,0x433ad35c,8,13,14,8,13,14,6.5,-54,1769379041,3,3
2026-01-25 14:10:45.666604,0x433abf20,3,5,5,3,5,5,5.75,-77,1769379044,3,3
2026-01-25 14:11:33.531111,0x433af380,11,15,16,11,15,16,6.5,-40,1769379092,3,3
2026-01-25 14:11:38.948084,0x433b0b38,10,15,15,10,15,15,6.0,-71,1769379098,5,5
2026-01-25 14:11:41.452083,0x433ad35c,9,13,14,9,13,14,6.25,-53,1769379100,3,3
2026-01-25 14:11:44.189483,0x433abf20,4,5,7,4,5,7,6.0,-76,1769379103,3,3
2026-01-25 14:12:34.070547,0x433af380,10,13,13,10,13,13,6.0,-40,1769379153,3,3
2026-01-25 14:12:38.976873,0x433ad35c,9,14,15,9,14,15,6.75,-54,1769379158,3,3
2026-01-25 14:12:40.779621,0x433b0b38,8,10,10,8,10,10,5.5,-71,1769379159,5,5
2026-01-25 14:12:45.003463,0x433abf20,3,4,5,3,4,5,6.0,-76,1769379164,3,3
2026-01-25 14:13:38.591319,0x433b0b38,9,12,14,9,12,14,5.75,-70,1769379217,5,5
2026-01-25 14:13:40.545845,0x433ad35c,10,13,13,10,13,13,6.75,-54,1769379219,3,3
2026-01-25 14:13:44.729060,0x433abf20,3,4,5,3,4,5,6.25,-76,1769379223,3,3
2026-01-25 14:14:33.758843,0x433af380,11,15,16,11,15,16,6.0,-39,1769379272,3,3
2026-01-25 14:14:38.152706,0x433ad35c,8,11,11,8,11,11,6.0,-54,1769379277,3,3
2026-01-25 14:14:40.104786,0x433b0b38,9,15,15,9,15,15,5.75,-71,1769379279,5,5
2026-01-25 14:14:44.712812,0x433abf20,4,8,8,4,8,8,5.25,-76,1769379283,3,3
2026-01-25 14:15:33.992807,0x433af380,10,14,15,10,14,15,6.5,-40,1769379333,3,3
2026-01-25 14:15:38.409483,0x433ad35c,9,11,12,9,11,12,6.0,-53,1769379337,3,3
2026-01-25 14:15:40.144545,0x433b0b38,8,12,13,8,12,13,6.5,-70,1769379339,5,5
2026-01-25 14:15:44.996280,0x433abf20,4,7,7,4,7,7,5.75,-76,1769379344,3,3
2026-01-25 14:16:34.506930,0x433af380,12,18,19,12,18,19,7.0,-38,1769379393,3,3
2026-01-25 14:16:38.713648,0x433ad35c,9,13,13,9,13,13,7.5,-53,1769379397,3,3
2026-01-25 14:16:41.430192,0x433b0b38,9,11,14,9,11,14,6.0,-70,1769379400,5,5
2026-01-25 14:16:45.624720,0x433abf20,5,9,9,5,9,9,5.5,-76,1769379404,3,3
2026-01-25 14:17:34.690988,0x433af380,11,18,20,11,18,20,6.0,-39,1769379453,3,3
2026-01-25 14:17:38.947619,0x433ad35c,8,12,15,8,12,15,6.0,-54,1769379458,3,3
2026-01-25 14:17:46.046496,0x433abf20,4,6,6,4,6,6,5.75,-76,1769379465,3,3
2026-01-25 14:17:50.032511,0x433b0b38,9,18,19,9,18,19,5.75,-71,1769379469,5,5
2026-01-25 14:18:34.696407,0x433af380,11,15,15,11,15,15,6.25,-39,1769379513,3,3
2026-01-25 14:18:39.201034,0x433ad35c,9,13,14,9,13,14,5.75,-54,1769379518,3,3
2026-01-25 14:18:41.007371,0x433b0b38,10,12,12,10,12,12,5.5,-71,1769379520,5,5
2026-01-25 14:18:49.718005,0x433abf20,4,7,7,4,7,7,5.75,-76,1769379528,3,3
2026-01-25 14:19:35.379729,0x433af380,13,17,17,13,17,17,6.0,-39,1769379574,3,3
2026-01-25 14:19:39.935465,0x433b0b38,6,8,8,6,8,8,5.75,-70,1769379579,5,5
2026-01-25 14:19:41.715411,0x433ad35c,9,12,12,9,12,12,5.75,-54,1769379580,3,3
2026-01-25 14:19:48.742933,0x433abf20,4,6,6,4,6,6,5.75,-76,1769379587,3,3
2026-01-25 14:20:35.816501,0x433af380,14,19,19,14,19,19,6.0,-40,1769379634,3,3
2026-01-25 14:20:39.712615,0x433ad35c,10,13,13,10,13,13,7.25,-54,1769379638,3,3
2026-01-25 14:20:41.514605,0x433b0b38,6,9,12,6,9,12,6.0,-71,1769379640,5,5
2026-01-25 14:20:48.360830,0x433abf20,6,8,8,6,8,8,5.75,-76,1769379647,3,3
2026-01-25 14:21:35.569769,0x433af380,12,16,16,12,16,16,5.75,-39,1769379694,3,3
2026-01-25 14:21:40.155169,0x433ad35c,8,10,10,8,10,10,6.25,-54,1769379699,3,3
2026-01-25 14:21:43.131554,0x433b0b38,7,8,8,7,8,8,5.25,-70,1769379702,5,5
2026-01-25 14:21:49.946887,0x433abf20,5,7,7,5,7,7,5.5,-77,1769379709,3,3
2026-01-25 14:22:40.338059,0x433ad35c,9,11,12,9,11,12,6.25,-53,1769379759,3,3
2026-01-25 14:22:42.151735,0x433b0b38,6,10,10,6,10,10,5.25,-71,1769379761,5,5
2026-01-25 14:22:49.874614,0x433abf20,5,9,9,5,9,9,5.75,-76,1769379768,3,3
2026-01-25 14:23:35.406276,0x433af380,12,15,16,12,15,16,6.25,-39,1769379814,3,3
2026-01-25 14:23:41.206995,0x433b0b38,8,10,12,8,10,12,5.75,-70,1769379820,5,5
2026-01-25 14:23:42.980655,0x433ad35c,9,12,13,9,12,13,7.0,-54,1769379822,3,3
2026-01-25 14:23:47.699217,0x433abf20,3,5,5,3,5,5,5.75,-76,1769379826,3,3
2026-01-25 14:23:56.985118,0x433acb14,3,5,6,3,5,6,4.5,-88,1769379836,3,3
2026-01-25 14:24:41.033247,0x433ad35c,10,13,14,10,13,14,7.5,-54,1769379880,3,3
2026-01-25 14:24:45.634558,0x433b0b38,7,11,13,7,11,13,6.0,-77,1769379884,5,4
2026-01-25 14:24:54.472278,0x433acb14,3,5,6,3,5,6,0.75,-96,1769379893,3,3
2026-01-25 14:25:41.029517,0x433ad35c,8,9,10,8,9,10,7.0,-53,1769379940,3,3
2026-01-25 14:25:42.889139,0x433b0b38,10,11,11,10,11,11,5.5,-70,1769379941,5,5
2026-01-25 14:25:49.701562,0x433abf20,4,8,9,4,8,9,5.25,-76,1769379948,3,3
2026-01-25 14:25:55.557853,0x433acb14,5,7,7,5,7,7,1.0,-96,1769379954,3,3
2026-01-25 14:26:35.518998,0x433af380,11,14,14,11,14,14,6.5,-39,1769379994,3,3
2026-01-25 14:26:41.755452,0x433ad35c,9,10,12,9,10,12,5.5,-55,1769380000,3,3
2026-01-25 14:26:43.631692,0x433b0b38,9,10,10,9,10,10,5.75,-71,1769380002,5,5
2026-01-25 14:26:48.845984,0x433abf20,5,9,9,5,9,9,5.25,-77,1769380007,3,3
2026-01-25 14:26:57.289793,0x433acb14,4,6,6,4,6,6,7.75,-53,1769380016,3,2
2026-01-25 14:27:35.759701,0x433af380,13,18,18,13,18,18,6.25,-39,1769380054,3,3
2026-01-25 14:27:41.638611,0x433ad35c,10,14,18,10,14,18,7.0,-54,1769380060,3,3
2026-01-25 14:27:46.694385,0x433b0b38,6,7,7,6,7,7,5.5,-70,1769380065,5,5
2026-01-25 14:27:49.297204,0x433abf20,4,7,9,4,7,9,1.5,-76,1769380068,3,3
2026-01-25 14:27:55.633752,0x433acb14,4,6,7,4,6,7,1.0,-96,1769380074,3,3
2026-01-25 14:28:43.526433,0x433b0b38,10,17,18,10,17,18,5.75,-70,1769380122,5,5
2026-01-25 14:28:45.730538,0x433ad35c,8,9,11,8,9,11,6.75,-54,1769380124,3,3
2026-01-25 14:28:55.417558,0x433acb14,5,8,9,5,8,9,1.75,-95,1769380134,3,3
2026-01-25 14:29:36.484552,0x433af380,10,14,15,10,14,15,6.0,-39,1769380175,3,3
2026-01-25 14:29:43.447014,0x433ad35c,7,11,11,7,11,11,5.75,-53,1769380182,3,3
2026-01-25 14:29:45.319656,0x433b0b38,8,12,18,8,12,18,5.5,-71,1769380184,5,5
2026-01-25 14:29:48.506156,0x433abf20,3,6,6,3,6,6,5.5,-76,1769380187,3,3
2026-01-25 14:29:55.718205,0x433acb14,3,6,9,3,6,9,-3.75,-101,1769380194,3,3
2026-01-25 14:30:36.146376,0x433af380,13,16,16,13,16,16,6.25,-39,1769380235,3,3
2026-01-25 14:30:43.679182,0x433ad35c,8,9,10,8,9,10,7.5,-54,1769380242,3,3
2026-01-25 14:30:45.335254,0x433b0b38,7,10,11,7,10,11,6.0,-70,1769380244,5,5
2026-01-25 14:30:49.570035,0x433abf20,4,7,7,4,7,7,5.25,-77,1769380248,3,3
2026-01-25 14:30:55.910610,0x433acb14,5,7,7,5,7,7,1.5,-96,1769380254,3,3
2026-01-25 14:31:44.872858,0x433ad35c,7,9,10,7,9,10,5.75,-54,1769380303,3,3
2026-01-25 14:31:47.455684,0x433b0b38,8,11,11,8,11,11,6.0,-71,1769380306,5,5
2026-01-25 14:31:50.039514,0x433abf20,4,6,6,4,6,6,5.5,-76,1769380309,3,3
2026-01-25 14:31:56.174338,0x433acb14,3,6,6,3,6,6,0.5,-96,1769380315,3,3
2026-01-25 14:32:36.951142,0x433af380,12,19,19,12,19,19,6.5,-39,1769380356,3,3
2026-01-25 14:32:43.612068,0x433ad35c,7,11,12,7,11,12,5.75,-54,1769380362,3,3
2026-01-25 14:32:45.287410,0x433b0b38,9,11,15,9,11,15,5.5,-70,1769380364,5,5
2026-01-25 14:32:49.498344,0x433abf20,2,6,7,2,6,7,5.75,-76,1769380368,3,3
2026-01-25 14:32:56.910766,0x433acb14,6,7,9,6,7,9,1.25,-95,1769380375,3,3
2026-01-25 14:33:36.849433,0x433af380,14,17,17,14,17,17,6.5,-39,1769380415,3,3
2026-01-25 14:33:44.236177,0x433ad35c,7,10,12,7,10,12,7.25,-54,1769380423,3,3
2026-01-25 14:33:47.316437,0x433b0b38,11,20,22,11,20,22,0.5,-96,1769380426,5,4
2026-01-25 14:33:50.776345,0x433abf20,5,8,8,5,8,8,5.75,-76,1769380429,3,3
2026-01-25 14:33:58.745867,0x433acb14,3,6,11,3,6,11,1.0,-95,1769380437,3,3
2026-01-25 14:34:43.762174,0x433ad35c,11,13,14,11,13,14,6.0,-54,1769380482,3,3
2026-01-25 14:34:45.724588,0x433b0b38,7,11,11,7,11,11,6.75,-70,1769380484,5,5
2026-01-25 14:34:50.223059,0x433abf20,5,6,6,5,6,6,5.5,-77,1769380489,3,3
2026-01-25 14:34:56.741638,0x433acb14,6,8,10,6,8,10,2.25,-95,1769380495,3,3
2026-01-25 14:35:36.822136,0x433af380,11,16,17,11,16,17,6.0,-39,1769380535,3,3
2026-01-25 14:35:44.004090,0x433b0b38,8,10,10,8,10,10,5.25,-70,1769380543,5,5
2026-01-25 14:35:47.386610,0x433ad35c,10,13,13,10,13,13,6.75,-54,1769380546,3,3
2026-01-25 14:35:50.141783,0x433abf20,4,8,9,4,8,9,5.75,-76,1769380549,3,3
2026-01-25 14:36:00.281520,0x433acb14,5,8,8,5,8,8,0.75,-95,1769380559,3,3
2026-01-25 14:36:37.949729,0x433af380,10,13,13,10,13,13,6.25,-39,1769380597,3,3
2026-01-25 14:36:44.291584,0x433ad35c,9,11,12,9,11,12,7.0,-54,1769380603,3,3
2026-01-25 14:36:46.230262,0x433b0b38,9,14,16,9,14,16,0.25,-97,1769380605,5,4
2026-01-25 14:36:51.555646,0x433abf20,4,6,9,4,6,9,5.0,-77,1769380610,3,3
2026-01-25 14:36:57.422735,0x433acb14,4,10,10,4,10,10,1.0,-96,1769380616,3,3
2026-01-25 14:37:44.915256,0x433ad35c,9,12,15,9,12,15,6.0,-54,1769380663,3,3
2026-01-25 14:37:47.811067,0x433b0b38,8,12,16,8,12,16,5.75,-70,1769380666,5,5
2026-01-25 14:37:51.921277,0x433abf20,6,7,8,6,7,8,5.75,-77,1769380670,3,3
2026-01-25 14:37:59.496709,0x433acb14,3,4,4,3,4,4,5.5,-76,1769380678,3,2
2026-01-25 14:38:37.682184,0x433af380,13,15,15,13,15,15,6.0,-39,1769380716,3,3
2026-01-25 14:38:44.764199,0x433b0b38,8,12,12,8,12,12,6.0,-70,1769380723,5,5
2026-01-25 14:38:46.555047,0x433ad35c,10,13,13,10,13,13,7.5,-54,1769380725,3,3
2026-01-25 14:38:51.002628,0x433abf20,5,8,8,5,8,8,6.0,-77,1769380730,3,3
2026-01-25 14:38:59.347228,0x433acb14,4,7,7,4,7,7,2.5,-94,1769380738,3,3
2026-01-25 14:39:37.761579,0x433af380,10,20,21,10,20,21,6.0,-39,1769380776,3,3
2026-01-25 14:39:45.069123,0x433ad35c,7,9,10,7,9,10,7.0,-54,1769380784,3,3
2026-01-25 14:39:47.012976,0x433b0b38,8,13,13,8,13,13,5.5,-70,1769380786,5,5
2026-01-25 14:39:51.665850,0x433abf20,7,10,13,7,10,13,5.5,-76,1769380790,3,3
2026-01-25 14:40:00.583863,0x433acb14,5,7,8,5,7,8,-0.25,-97,1769380799,3,3
2026-01-25 14:40:40.257182,0x433af380,11,15,15,11,15,15,5.75,-40,1769380839,3,3
2026-01-25 14:40:45.295835,0x433b0b38,8,10,12,8,10,12,5.75,-70,1769380844,5,5
2026-01-25 14:40:47.205842,0x433ad35c,8,10,10,8,10,10,6.5,-54,1769380846,3,3
2026-01-25 14:40:51.564190,0x433abf20,4,6,6,4,6,6,5.5,-76,1769380850,3,3
2026-01-25 14:41:00.489503,0x433acb14,3,3,3,3,3,3,1.5,-96,1769380859,3,3
2026-01-25 14:41:38.670581,0x433af380,11,18,19,11,18,19,6.25,-39,1769380897,3,3
2026-01-25 14:41:45.573009,0x433b0b38,8,11,13,8,11,13,6.25,-70,1769380904,5,5
2026-01-25 14:41:47.357492,0x433ad35c,7,11,11,7,11,11,6.0,-54,1769380906,3,3
2026-01-25 14:41:51.685909,0x433abf20,4,6,6,4,6,6,6.0,-76,1769380910,3,3
2026-01-25 14:42:00.941091,0x433acb14,4,5,7,4,5,7,0.75,-97,1769380919,3,3
2026-01-25 14:42:38.347951,0x433af380,10,14,16,10,14,16,7.0,-40,1769380957,3,3
2026-01-25 14:42:45.828435,0x433ad35c,8,10,12,8,10,12,7.25,-54,1769380964,3,3
2026-01-25 14:42:47.672348,0x433b0b38,9,11,11,9,11,11,6.0,-70,1769380966,5,5
2026-01-25 14:42:55.157646,0x433abf20,4,6,6,4,6,6,5.5,-76,1769380974,3,3
2026-01-25 14:43:02.954368,0x433acb14,4,4,6,4,4,6,2.25,-95,1769380982,3,3
2026-01-25 14:43:46.083157,0x433ad35c,8,12,13,8,12,13,5.75,-54,1769381025,3,3
2026-01-25 14:43:47.870302,0x433b0b38,11,19,20,11,19,20,5.75,-76,1769381026,5,4
2026-01-25 14:43:53.306691,0x433abf20,5,8,8,5,8,8,6.0,-77,1769381032,3,3
2026-01-25 14:44:00.800175,0x433acb14,3,5,11,3,5,11,-0.5,-97,1769381039,3,3
2026-01-25 14:44:39.129735,0x433af380,13,17,18,13,17,18,5.75,-39,1769381078,3,3
2026-01-25 14:44:46.334779,0x433b0b38,7,9,9,7,9,9,5.5,-74,1769381085,5,5
2026-01-25 14:44:48.041607,0x433ad35c,9,14,14,9,14,14,6.0,-54,1769381087,3,3
2026-01-25 14:44:52.911548,0x433abf20,5,7,8,5,7,8,5.75,-76,1769381091,3,3
2026-01-25 14:45:00.188795,0x433acb14,4,6,6,4,6,6,2.5,-94,1769381099,3,3
2026-01-25 14:45:38.668948,0x433af380,12,16,17,12,16,17,6.25,-40,1769381137,3,3
2026-01-25 14:45:46.551541,0x433b0b38,9,11,11,9,11,11,5.5,-75,1769381145,5,5
2026-01-25 14:45:48.251367,0x433ad35c,8,9,10,8,9,10,6.0,-54,1769381147,3,3
2026-01-25 14:45:54.019624,0x433abf20,5,7,9,5,7,9,5.75,-76,1769381153,3,3
2026-01-25 14:46:02.643308,0x433acb14,5,9,11,5,9,11,2.75,-93,1769381161,3,3
2026-01-25 14:46:39.075663,0x433af380,9,12,12,9,12,12,5.75,-39,1769381198,3,3
2026-01-25 14:46:46.846100,0x433b0b38,7,11,13,7,11,13,6.25,-73,1769381205,5,5
2026-01-25 14:46:48.622973,0x433ad35c,9,12,12,9,12,12,6.0,-54,1769381207,3,3
2026-01-25 14:46:53.255440,0x433abf20,5,6,6,5,6,6,5.5,-76,1769381212,3,3
2026-01-25 14:47:02.652021,0x433acb14,2,4,6,2,4,6,3.75,-92,1769381221,3,3
2026-01-25 14:47:39.616026,0x433af380,12,16,16,12,16,16,6.0,-39,1769381258,3,3
2026-01-25 14:47:47.094988,0x433ad35c,7,11,11,7,11,11,6.25,-53,1769381266,3,3
2026-01-25 14:47:51.162668,0x433b0b38,9,14,17,9,14,17,6.0,-74,1769381270,5,5
2026-01-25 14:47:57.211071,0x433abf20,5,8,9,5,8,9,5.25,-76,1769381276,3,3
2026-01-25 14:48:01.009927,0x433acb14,4,5,7,4,5,7,-0.25,-98,1769381280,3,3
2026-01-25 14:48:47.304149,0x433b0b38,7,9,9,7,9,9,5.75,-73,1769381326,5,5
2026-01-25 14:48:49.047332,0x433ad35c,8,11,11,8,11,11,7.5,-54,1769381328,3,3
2026-01-25 14:49:01.474401,0x433acb14,4,5,9,4,5,9,-0.25,-97,1769381340,3,3
2026-01-25 14:49:47.731620,0x433b0b38,6,9,9,6,9,9,5.75,-73,1769381386,5,5
2026-01-25 14:49:49.492267,0x433ad35c,7,9,9,7,9,9,7.5,-54,1769381388,3,3
2026-01-25 14:49:53.625672,0x433abf20,4,6,6,4,6,6,5.5,-76,1769381392,3,3
2026-01-25 14:50:04.727171,0x433acb14,5,6,8,5,6,8,2.25,-95,1769381403,3,3
2026-01-25 14:50:39.314195,0x433af380,11,17,17,11,17,17,5.75,-39,1769381438,3,3
2026-01-25 14:50:47.848985,0x433ad35c,8,12,12,8,12,12,7.75,-54,1769381446,3,3
2026-01-25 14:50:49.505712,0x433b0b38,9,13,14,9,13,14,5.5,-74,1769381448,5,5
2026-01-25 14:50:54.427768,0x433abf20,5,6,8,5,6,8,5.75,-76,1769381453,3,3
2026-01-25 14:51:04.762922,0x433acb14,4,5,7,4,5,7,2.25,-95,1769381463,3,3
2026-01-25 14:51:40.198413,0x433af380,12,16,16,12,16,16,6.0,-40,1769381499,3,3
2026-01-25 14:51:48.187847,0x433b0b38,8,12,13,8,12,13,6.5,-74,1769381507,5,5
2026-01-25 14:51:50.824914,0x433ad35c,7,11,11,7,11,11,6.0,-54,1769381509,3,3
2026-01-25 14:52:01.353807,0x433abf20,4,6,6,4,6,6,6.75,-54,1769381520,3,2
2026-01-25 14:52:05.320928,0x433acb14,3,4,8,3,4,8,1.75,-95,1769381524,3,3
2026-01-25 14:52:49.014991,0x433ad35c,8,11,12,8,11,12,7.0,-54,1769381568,3,3
2026-01-25 14:52:54.322804,0x433b0b38,8,10,12,8,10,12,6.75,-74,1769381573,5,5
2026-01-25 14:53:00.182526,0x433abf20,4,5,5,4,5,5,6.0,-76,1769381579,3,3
2026-01-25 14:53:02.927512,0x433acb14,4,8,9,4,8,9,0.75,-96,1769381581,3,3
2026-01-25 14:53:39.953130,0x433af380,10,13,14,10,13,14,6.25,-39,1769381618,3,3
2026-01-25 14:53:48.569117,0x433b0b38,8,13,13,8,13,13,6.75,-74,1769381627,5,5
2026-01-25 14:53:50.447692,0x433ad35c,8,11,12,8,11,12,6.25,-54,1769381629,3,3
2026-01-25 14:54:02.779246,0x433acb14,5,9,12,5,9,12,2.0,-95,1769381641,3,3
2026-01-25 14:54:39.838808,0x433af380,12,14,16,12,14,16,6.0,-39,1769381678,3,3
2026-01-25 14:54:54.674509,0x433b0b38,8,10,10,8,10,10,6.25,-74,1769381693,5,5
2026-01-25 14:54:56.445954,0x433abf20,4,7,7,4,7,7,5.25,-76,1769381695,3,3
2026-01-25 14:54:59.938817,0x433ad35c,10,13,15,10,13,15,6.25,-53,1769381698,3,3
2026-01-25 14:55:02.946459,0x433acb14,4,6,6,4,6,6,-2.0,-100,1769381701,3,3
2026-01-25 14:55:19.915820,0x433b0098,9,12,14,9,12,14,6.0,-61,1769381718,2,2
2026-01-25 14:55:51.786582,0x433ad35c,9,11,11,9,11,11,7.0,-54,1769381750,3,3
2026-01-25 14:55:55.831153,0x433b0b38,8,14,14,8,14,14,5.75,-61,1769381754,5,4
2026-01-25 14:56:02.943469,0x433acb14,4,5,6,4,5,6,2.5,-95,1769381761,3,3
2026-01-25 14:56:52.916779,0x433b0b38,10,18,19,10,18,19,4.75,-74,1769381811,5,5
2026-01-25 14:56:54.573362,0x433ad35c,6,12,15,6,12,15,6.0,-54,1769381813,3,3
2026-01-25 14:57:01.790652,0x433abf20,5,7,7,5,7,7,5.75,-76,1769381820,3,3
2026-01-25 14:57:04.775361,0x433acb14,2,3,4,2,3,4,1.0,-96,1769381823,3,3
2026-01-25 14:57:20.269737,0x433b0098,6,10,10,6,10,10,6.0,-61,1769381839,2,2
2026-01-25 14:57:40.375552,0x433af380,11,14,17,11,14,17,7.0,-39,1769381859,3,3
2026-01-25 14:57:54.393639,0x433ad35c,7,9,11,7,9,11,7.75,-54,1769381873,3,3
2026-01-25 14:57:57.825801,0x433b0b38,5,8,9,5,8,9,6.75,-74,1769381876,5,5
2026-01-25 14:58:03.641918,0x433abf20,5,8,9,5,8,9,5.5,-76,1769381882,3,3
2026-01-25 14:58:06.188844,0x433acb14,3,6,10,3,6,10,1.25,-95,1769381885,3,3
2026-01-25 14:58:49.857559,0x433b0b38,11,14,14,11,14,14,6.0,-74,1769381928,5,5
2026-01-25 14:58:51.632437,0x433ad35c,8,11,12,8,11,12,7.0,-54,1769381930,3,3
